date,jaenner,februar,maerz,april,mai,juni,juli,august,september,oktober,november,dezember
1.,17942,20155,20634,19206,19150,19224,19585,19757,19228,20201,17502,18480
2.,18629,20172,20442,19894,19781,19253,19547,19379,19109,19772,18009,18393
3.,19485,20232,20733,19731,20246,19216,19630,19406,19141,19741,18537,18296
4.,19526,20098,20504,20006,19900,19297,19651,19337,19089,19861,18710,18524
5.,19755,20236,20380,19582,20136,19110,19623,19269,19353,19281,18834,18610
6.,18464,20206,20212,19834,20103,19840,19857,19490,18878,19156,18697,18445
7.,19145,19874,20317,19643,20128,19576,19446,19483,19272,19019,18712,18450
8.,19123,20178,20315,19527,19782,19346,19438,19650,19180,19017,18459,17750
9.,19379,19983,20292,19706,19614,19466,19469,19408,19687,18902,18542,18256
10.,19340,20433,20468,19675,20031,19564,19606,19321,19618,19425,18654,19085
11.,19409,20155,20244,19685,19981,19396,19622,19194,19548,18567,18781,18885
12.,19530,20485,20286,19621,19800,19362,19433,19495,19883,18862,18809,19207
13.,19379,20318,19973,19507,19669,19311,19607,19185,19570,18157,18392,18730
14.,19471,20622,19912,19649,19849,19455,19623,19498,19886,18636,18558,19172
15.,19647,20312,19932,19466,19673,19259,19869,18645,20272,18760,18292,19145
16.,19594,20352,19916,19507,19771,19515,19533,18880,20414,18598,18465,18993
17.,20037,20474,19855,19887,19779,19475,19882,19255,20583,18433,18410,19185
18.,19857,20509,20283,19606,19738,19440,19600,19471,20471,18263,18392,19061
19.,19548,20560,20167,19483,19613,19390,19672,19022,20794,18357,18594,18905
20.,19942,20380,20061,19700,19446,19615,19656,19385,20662,18720,18534,18625
21.,19918,20318,19721,19591,19669,19389,19566,19037,20890,18633,18452,18652
22.,19910,20580,19833,19815,19475,19274,19705,19179,21038,18371,18491,18407
23.,20149,20296,19852,19755,19422,19669,19860,19112,20882,18266,18534,18303
24.,19884,20240,19887,20084,19202,19628,19734,19366,20878,18601,18338,18252
25.,20042,20434,19921,19611,19515,19441,19754,18976,20809,18714,18753,16965
26.,20054,20304,19835,20182,19514,19497,19522,18936,21035,17531,18603,17249
27.,20092,20374,19776,19360,19152,19609,19644,19095,20319,18371,18500,18716
28.,20092,20366,19693,19904,19452,19263,19646,19091,20436,18589,18333,18906
29.,20033,4887,19607,19928,19049,19186,19591,19176,20251,18901,18421,18937
30.,19779,,19751,19990,19559,19344,19407,19134,20130,18955,18348,19036
31.,20122,,19568,,19094,,19287,18845,,18723,,18223
